year,global_primary_energy_TW,coal_TW,oil_TW,gas_TW,nuclear_TW,hydro_TW,wind_TW,solar_TW,world_gdp_2011_USD,kardashev_K,energy_observed,gdp_observed,country_n,data_status,dKdt,dKdt_roll10,dKdt_zscore,e_aii_global
1853,0.8967123287671234,0.0818036529680365,0.0,0.0,0.0,0.0,0.0,0.0,574062261467.9701,0.5952653140851529,False,True,16.0,partial,0.0001183155731938,0.0001575463248513,-1.0357151891413967,0.00037004895061280277
1854,0.8991552511415526,0.0874200913242009,0.0,0.0,0.0,0.0,0.0,0.0,591827634800.2991,0.5953834684939971,False,True,16.0,partial,0.0001179941190457,0.0001414992638919,-1.0363337816861729,0.00039438118815242465
1855,0.9015981735159816,0.0930365296803653,0.0,0.0,0.0,0.0,0.0,0.0,597886891162.9135,0.5955013023232445,False,True,17.0,partial,0.0001176744069005,0.0001255967202181,-1.0369490219954964,0.0004185815670231817
1856,0.9040410958904108,0.0986529680365296,0.0,0.0,0.0,0.0,0.0,0.0,619750877216.7671,0.5956188173077983,False,True,16.0,partial,0.0001173564226361,0.0001275901128565,-1.0375609372454213,0.0004426511561604145
1857,0.9064840182648402,0.104269406392694,0.0,0.0,0.0,0.0,0.0,0.0,633661233390.6876,0.5957360151685167,False,True,16.0,partial,0.0001170401522828,0.0001473089209843,-1.0381695543182383,0.0004665910129765875
1858,0.9089269406392694,0.1098858447488584,0.0,0.0,0.0,0.0,0.0,0.0,644133572336.354,0.595852897612364,False,True,16.0,partial,0.0001167255820212,0.0001668317385783,-1.0387748998078148,0.000490402183516137
1859,0.9113698630136986,0.1155022831050228,0.0,0.0,0.0,0.0,0.0,0.0,653450528467.7805,0.5959694663325592,False,True,16.0,partial,0.0001164126981798,0.0001861616675834,-1.0393770000228002,0.0005140857026078318
1860,0.9138127853881278,0.1211187214611872,0.0,0.0,0.0,0.0,0.0,0.0,702560528037.169,0.5960857230087238,True,True,20.0,complete,0.0002167796259236,0.0002053017413043,-0.8462351985694541,0.0005376425940146892
1861,0.920513698630137,0.1277511415525114,6.84931506849315e-05,0.0,0.0,0.0,0.0,0.0,900509260538.7518,0.5964030255844065,False,True,19.0,partial,0.0003161518460381,0.0002242549263728,-0.655007569720116,0.0005632817049888109
1862,0.927214611872146,0.1343835616438356,0.0001369863013698,0.0,0.0,0.0,0.0,0.0,692931898477.3805,0.5967180267008001,False,True,17.0,partial,0.0003138669595613,0.000243024124646,-0.6594045070396688,0.0005885502319448638
1863,0.9339155251141552,0.1410159817351598,0.0002054794520547,0.0,0.0,0.0,0.0,0.0,735100018647.4429,0.5970307595035292,False,True,17.0,partial,0.0003116148632452,0.0002616121750378,-0.6637383443835746,0.0006134561517863916
1864,0.9406164383561644,0.147648401826484,0.0002739726027397,0.0,0.0,0.0,0.0,0.0,753653462619.4636,0.5973412564272905,False,True,17.0,partial,0.0003093948562545,0.0002800218552869,-0.6680104304089045,0.0006380072141083932
1865,0.9473173515981734,0.1542808219178082,0.0003424657534246,0.0,0.0,0.0,0.0,0.0,760509048299.685,0.5976495492160383,False,True,18.0,partial,0.0003072062575852,0.0002982558836627,-0.6722220756106495,0.0006622109492367327
1866,0.9540182648401826,0.1609132420091324,0.0004109589041095,0.0,0.0,0.0,0.0,0.0,769028491822.6038,0.597955668942461,False,True,18.0,partial,0.0003050484053681,0.0003147669553776,-0.6763745536613907,0.0006860746759287458
1867,0.9607191780821918,0.1675456621004566,0.0004794520547945,0.0,0.0,0.0,0.0,0.0,775254364371.0664,0.5982596460267746,False,True,18.0,partial,0.0003029206562015,0.0003295098804662,-0.6804691026958496,0.000709605508751578
1868,0.9674200913242008,0.1741780821917808,0.0005479452054794,0.0,0.0,0.0,0.0,0.0,805183195283.4727,0.598561510254864,False,True,18.0,partial,0.0003008223845113,0.0003439916596801,-0.6845069265417059,0.0007328103651538826
1869,0.97412100456621,0.180810502283105,0.0006164383561643,0.0,0.0,0.0,0.0,0.0,826379035034.994,0.5988612907957973,False,True,18.0,partial,0.0002987529819379,0.0003582192493175,-0.688489195900101,0.000755695972245647
1870,0.9808219178082191,0.1874429223744292,0.0006849315068493,0.0,0.0,0.0,0.0,0.0,1829723623570.8176,0.59915901621874,True,True,67.0,complete,0.0003818903430727,0.0003721993581302,-0.5285032318119828,0.0007782688733001013
